path,label
2/2_309.wav,four
2/2_577.wav,four
0/0_330.wav,zero
2/2_523.wav,four
2/2_473.wav,four
2/2_668.wav,four
0/0_53.wav,zero
2/2_472.wav,four
2/2_899.wav,four
0/0_651.wav,zero
2/2_398.wav,four
0/0_92.wav,zero
0/0_852.wav,zero
2/2_443.wav,four
0/0_141.wav,zero
2/2_454.wav,four
0/0_18.wav,zero
2/2_418.wav,four
2/2_946.wav,four
2/2_76.wav,four
2/2_801.wav,four
2/2_948.wav,four
2/2_269.wav,four
2/2_859.wav,four
0/0_162.wav,zero
0/0_606.wav,zero
0/0_637.wav,zero
2/2_428.wav,four
0/0_446.wav,zero
0/0_640.wav,zero
0/0_713.wav,zero
2/2_947.wav,four
0/0_278.wav,zero
0/0_833.wav,zero
0/0_622.wav,zero
0/0_140.wav,zero
0/0_440.wav,zero
0/0_90.wav,zero
0/0_692.wav,zero
2/2_416.wav,four
2/2_837.wav,four
2/2_2.wav,four
0/0_20.wav,zero
0/0_457.wav,zero
2/2_429.wav,four
2/2_367.wav,four
0/0_848.wav,zero
2/2_276.wav,four
0/0_314.wav,zero
2/2_49.wav,four
2/2_597.wav,four
2/2_689.wav,four
0/0_379.wav,zero
2/2_534.wav,four
0/0_851.wav,zero
2/2_589.wav,four
0/0_65.wav,zero
0/0_856.wav,zero
0/0_706.wav,zero
2/2_158.wav,four
0/0_313.wav,zero
2/2_724.wav,four
0/0_683.wav,zero
2/2_372.wav,four
2/2_312.wav,four
2/2_255.wav,four
2/2_567.wav,four
2/2_125.wav,four
0/0_740.wav,zero
2/2_47.wav,four
2/2_771.wav,four
2/2_342.wav,four
2/2_626.wav,four
2/2_53.wav,four
2/2_831.wav,four
2/2_198.wav,four
2/2_484.wav,four
0/0_722.wav,zero
0/0_864.wav,zero
0/0_94.wav,zero
2/2_641.wav,four
0/0_391.wav,zero
2/2_818.wav,four
0/0_741.wav,zero
0/0_274.wav,zero
0/0_578.wav,zero
2/2_307.wav,four
2/2_656.wav,four
2/2_734.wav,four
2/2_486.wav,four
2/2_781.wav,four
2/2_880.wav,four
2/2_544.wav,four
2/2_77.wav,four
2/2_631.wav,four
2/2_945.wav,four
2/2_282.wav,four
2/2_409.wav,four
2/2_220.wav,four
0/0_820.wav,zero
2/2_325.wav,four
2/2_489.wav,four
2/2_71.wav,four
0/0_416.wav,zero
0/0_59.wav,zero
0/0_551.wav,zero
2/2_531.wav,four
2/2_932.wav,four
0/0_618.wav,zero
0/0_758.wav,zero
0/0_560.wav,zero
2/2_735.wav,four
2/2_777.wav,four
0/0_441.wav,zero
2/2_573.wav,four
0/0_752.wav,zero
0/0_157.wav,zero
0/0_832.wav,zero
2/2_797.wav,four
0/0_780.wav,zero
2/2_436.wav,four
0/0_127.wav,zero
0/0_297.wav,zero
0/0_899.wav,zero
0/0_280.wav,zero
2/2_375.wav,four
2/2_162.wav,four
0/0_800.wav,zero
0/0_339.wav,zero
0/0_300.wav,zero
2/2_384.wav,four
2/2_649.wav,four
0/0_695.wav,zero
0/0_163.wav,zero
0/0_624.wav,zero
2/2_808.wav,four
2/2_290.wav,four
0/0_34.wav,zero
0/0_576.wav,zero
0/0_341.wav,zero
2/2_12.wav,four
0/0_611.wav,zero
2/2_156.wav,four
0/0_778.wav,zero
0/0_281.wav,zero
0/0_688.wav,zero
2/2_809.wav,four
2/2_789.wav,four
2/2_368.wav,four
2/2_9.wav,four
0/0_542.wav,zero
2/2_618.wav,four
2/2_701.wav,four
0/0_855.wav,zero
0/0_360.wav,zero
2/2_954.wav,four
0/0_860.wav,zero
2/2_580.wav,four
0/0_432.wav,zero
0/0_508.wav,zero
2/2_574.wav,four
0/0_598.wav,zero
2/2_202.wav,four
0/0_386.wav,zero
0/0_662.wav,zero
2/2_882.wav,four
2/2_617.wav,four
2/2_875.wav,four
0/0_586.wav,zero
2/2_444.wav,four
2/2_876.wav,four
2/2_458.wav,four
2/2_630.wav,four
2/2_593.wav,four
0/0_434.wav,zero
2/2_321.wav,four
0/0_757.wav,zero
0/0_342.wav,zero
0/0_10.wav,zero
2/2_128.wav,four
2/2_864.wav,four
2/2_415.wav,four
0/0_4.wav,zero
2/2_210.wav,four
0/0_376.wav,zero
2/2_246.wav,four
2/2_547.wav,four
0/0_619.wav,zero
2/2_471.wav,four
2/2_143.wav,four
2/2_73.wav,four
0/0_23.wav,zero
0/0_43.wav,zero
0/0_182.wav,zero
0/0_779.wav,zero
0/0_54.wav,zero
