path,label
4/4_686.wav,four
0/0_38.wav,zero
0/0_850.wav,zero
4/4_464.wav,four
4/4_580.wav,four
0/0_607.wav,zero
0/0_502.wav,zero
4/4_12.wav,four
4/4_641.wav,four
0/0_367.wav,zero
0/0_633.wav,zero
0/0_526.wav,zero
4/4_404.wav,four
0/0_858.wav,zero
4/4_640.wav,four
4/4_372.wav,four
0/0_564.wav,zero
0/0_61.wav,zero
0/0_292.wav,zero
0/0_457.wav,zero
0/0_352.wav,zero
0/0_835.wav,zero
0/0_219.wav,zero
4/4_443.wav,four
4/4_17.wav,four
0/0_21.wav,zero
0/0_101.wav,zero
4/4_515.wav,four
4/4_398.wav,four
0/0_197.wav,zero
0/0_89.wav,zero
0/0_639.wav,zero
4/4_781.wav,four
4/4_486.wav,four
0/0_644.wav,zero
0/0_751.wav,zero
4/4_573.wav,four
0/0_511.wav,zero
4/4_730.wav,four
0/0_899.wav,zero
4/4_368.wav,four
4/4_266.wav,four
4/4_80.wav,four
4/4_407.wav,four
0/0_338.wav,zero
0/0_555.wav,zero
0/0_852.wav,zero
0/0_796.wav,zero
4/4_623.wav,four
0/0_723.wav,zero
4/4_504.wav,four
4/4_472.wav,four
0/0_862.wav,zero
4/4_269.wav,four
0/0_456.wav,zero
4/4_143.wav,four
0/0_237.wav,zero
0/0_787.wav,zero
0/0_479.wav,zero
0/0_153.wav,zero
4/4_63.wav,four
0/0_140.wav,zero
4/4_53.wav,four
4/4_220.wav,four
0/0_855.wav,zero
0/0_315.wav,zero
0/0_187.wav,zero
0/0_48.wav,zero
4/4_713.wav,four
4/4_762.wav,four
4/4_384.wav,four
0/0_879.wav,zero
4/4_530.wav,four
0/0_500.wav,zero
0/0_806.wav,zero
4/4_709.wav,four
4/4_8.wav,four
4/4_162.wav,four
0/0_258.wav,zero
4/4_161.wav,four
0/0_752.wav,zero
4/4_517.wav,four
4/4_343.wav,four
4/4_391.wav,four
0/0_74.wav,zero
4/4_723.wav,four
0/0_51.wav,zero
4/4_158.wav,four
0/0_800.wav,zero
4/4_740.wav,four
0/0_801.wav,zero
0/0_570.wav,zero
4/4_523.wav,four
0/0_533.wav,zero
4/4_325.wav,four
0/0_239.wav,zero
4/4_125.wav,four
4/4_454.wav,four
0/0_159.wav,zero
4/4_328.wav,four
0/0_257.wav,zero
4/4_652.wav,four
4/4_126.wav,four
0/0_348.wav,zero
4/4_202.wav,four
0/0_823.wav,zero
4/4_43.wav,four
4/4_658.wav,four
4/4_532.wav,four
4/4_545.wav,four
0/0_873.wav,zero
4/4_189.wav,four
0/0_373.wav,zero
0/0_477.wav,zero
4/4_321.wav,four
4/4_507.wav,four
0/0_762.wav,zero
4/4_255.wav,four
4/4_797.wav,four
0/0_145.wav,zero
4/4_648.wav,four
4/4_93.wav,four
0/0_840.wav,zero
0/0_116.wav,zero
0/0_254.wav,zero
4/4_74.wav,four
0/0_893.wav,zero
0/0_569.wav,zero
4/4_482.wav,four
4/4_128.wav,four
0/0_484.wav,zero
0/0_410.wav,zero
0/0_496.wav,zero
0/0_243.wav,zero
0/0_204.wav,zero
4/4_537.wav,four
4/4_801.wav,four
4/4_282.wav,four
4/4_629.wav,four
4/4_139.wav,four
4/4_603.wav,four
4/4_577.wav,four
0/0_206.wav,zero
0/0_612.wav,zero
4/4_152.wav,four
4/4_495.wav,four
4/4_314.wav,four
0/0_274.wav,zero
4/4_367.wav,four
0/0_838.wav,zero
0/0_610.wav,zero
4/4_298.wav,four
0/0_536.wav,zero
0/0_578.wav,zero
4/4_39.wav,four
4/4_489.wav,four
0/0_125.wav,zero
4/4_633.wav,four
4/4_289.wav,four
0/0_689.wav,zero
4/4_334.wav,four
0/0_807.wav,zero
4/4_751.wav,four
0/0_329.wav,zero
0/0_768.wav,zero
4/4_767.wav,four
4/4_562.wav,four
4/4_414.wav,four
4/4_315.wav,four
4/4_429.wav,four
0/0_126.wav,zero
4/4_210.wav,four
0/0_167.wav,zero
0/0_523.wav,zero
0/0_692.wav,zero
