path,label
0/0_854.wav,zero
4/4_592.wav,four
0/0_499.wav,zero
0/0_636.wav,zero
2/2_909.wav,two
0/0_814.wav,zero
4/4_360.wav,four
2/2_74.wav,two
0/0_736.wav,zero
4/4_497.wav,four
0/0_491.wav,zero
4/4_384.wav,four
0/0_269.wav,zero
2/2_611.wav,two
0/0_510.wav,zero
2/2_443.wav,two
0/0_641.wav,zero
0/0_183.wav,zero
0/0_530.wav,zero
2/2_266.wav,two
4/4_64.wav,four
4/4_484.wav,four
4/4_506.wav,four
4/4_246.wav,four
0/0_328.wav,zero
2/2_292.wav,two
2/2_610.wav,two
4/4_658.wav,four
2/2_584.wav,two
0/0_399.wav,zero
0/0_771.wav,zero
0/0_820.wav,zero
0/0_492.wav,zero
4/4_152.wav,four
2/2_899.wav,two
2/2_561.wav,two
0/0_639.wav,zero
2/2_271.wav,two
0/0_802.wav,zero
4/4_643.wav,four
2/2_865.wav,two
2/2_922.wav,two
4/4_785.wav,four
2/2_169.wav,two
0/0_469.wav,zero
0/0_29.wav,zero
2/2_953.wav,two
4/4_95.wav,four
0/0_835.wav,zero
0/0_128.wav,zero
2/2_862.wav,two
2/2_400.wav,two
0/0_71.wav,zero
4/4_383.wav,four
2/2_140.wav,two
4/4_373.wav,four
0/0_210.wav,zero
2/2_653.wav,two
0/0_342.wav,zero
2/2_346.wav,two
0/0_353.wav,zero
2/2_454.wav,two
4/4_39.wav,four
4/4_43.wav,four
4/4_190.wav,four
4/4_599.wav,four
4/4_619.wav,four
4/4_237.wav,four
0/0_536.wav,zero
2/2_170.wav,two
0/0_276.wav,zero
2/2_232.wav,two
2/2_773.wav,two
0/0_803.wav,zero
4/4_130.wav,four
2/2_842.wav,two
4/4_370.wav,four
2/2_597.wav,two
0/0_309.wav,zero
4/4_590.wav,four
4/4_482.wav,four
2/2_202.wav,two
4/4_490.wav,four
0/0_162.wav,zero
4/4_33.wav,four
4/4_55.wav,four
0/0_139.wav,zero
0/0_15.wav,zero
0/0_36.wav,zero
4/4_463.wav,four
4/4_767.wav,four
2/2_628.wav,two
0/0_165.wav,zero
0/0_368.wav,zero
4/4_253.wav,four
0/0_754.wav,zero
2/2_285.wav,two
4/4_610.wav,four
0/0_43.wav,zero
0/0_887.wav,zero
4/4_407.wav,four
2/2_206.wav,two
4/4_98.wav,four
2/2_56.wav,two
2/2_906.wav,two
0/0_418.wav,zero
0/0_430.wav,zero
2/2_607.wav,two
4/4_711.wav,four
0/0_569.wav,zero
2/2_425.wav,two
2/2_639.wav,two
0/0_448.wav,zero
2/2_27.wav,two
2/2_10.wav,two
2/2_475.wav,two
2/2_326.wav,two
4/4_322.wav,four
2/2_361.wav,two
4/4_85.wav,four
0/0_880.wav,zero
4/4_180.wav,four
0/0_257.wav,zero
2/2_950.wav,two
0/0_466.wav,zero
4/4_293.wav,four
2/2_880.wav,two
2/2_343.wav,two
2/2_532.wav,two
2/2_497.wav,two
4/4_546.wav,four
2/2_937.wav,two
4/4_646.wav,four
4/4_231.wav,four
4/4_239.wav,four
2/2_674.wav,two
2/2_692.wav,two
2/2_839.wav,two
2/2_837.wav,two
4/4_714.wav,four
2/2_64.wav,two
2/2_955.wav,two
2/2_205.wav,two
0/0_614.wav,zero
0/0_655.wav,zero
0/0_314.wav,zero
0/0_48.wav,zero
0/0_453.wav,zero
4/4_87.wav,four
2/2_843.wav,two
0/0_610.wav,zero
4/4_191.wav,four
4/4_353.wav,four
4/4_452.wav,four
4/4_595.wav,four
4/4_422.wav,four
0/0_555.wav,zero
2/2_66.wav,two
0/0_252.wav,zero
0/0_138.wav,zero
2/2_799.wav,two
2/2_594.wav,two
4/4_511.wav,four
2/2_86.wav,two
2/2_540.wav,two
4/4_467.wav,four
0/0_299.wav,zero
4/4_99.wav,four
4/4_153.wav,four
4/4_106.wav,four
2/2_42.wav,two
0/0_723.wav,zero
0/0_233.wav,zero
4/4_155.wav,four
4/4_743.wav,four
0/0_22.wav,zero
0/0_891.wav,zero
4/4_508.wav,four
4/4_320.wav,four
2/2_51.wav,two
0/0_828.wav,zero
4/4_15.wav,four
2/2_725.wav,two
4/4_380.wav,four
2/2_427.wav,two
0/0_558.wav,zero
0/0_644.wav,zero
0/0_517.wav,zero
0/0_467.wav,zero
4/4_220.wav,four
4/4_645.wav,four
2/2_351.wav,two
0/0_366.wav,zero
0/0_255.wav,zero
0/0_26.wav,zero
2/2_820.wav,two
0/0_574.wav,zero
4/4_27.wav,four
4/4_233.wav,four
2/2_619.wav,two
0/0_389.wav,zero
4/4_391.wav,four
0/0_783.wav,zero
4/4_362.wav,four
2/2_854.wav,two
2/2_262.wav,two
0/0_607.wav,zero
2/2_537.wav,two
0/0_709.wav,zero
2/2_782.wav,two
4/4_29.wav,four
2/2_622.wav,two
0/0_65.wav,zero
4/4_427.wav,four
4/4_123.wav,four
2/2_370.wav,two
2/2_138.wav,two
0/0_386.wav,zero
0/0_47.wav,zero
0/0_391.wav,zero
0/0_548.wav,zero
2/2_832.wav,two
4/4_369.wav,four
4/4_455.wav,four
2/2_467.wav,two
2/2_20.wav,two
2/2_810.wav,two
2/2_272.wav,two
4/4_472.wav,four
4/4_335.wav,four
2/2_110.wav,two
4/4_563.wav,four
0/0_250.wav,zero
2/2_496.wav,two
2/2_841.wav,two
4/4_596.wav,four
0/0_773.wav,zero
0/0_59.wav,zero
2/2_549.wav,two
0/0_274.wav,zero
2/2_556.wav,two
0/0_893.wav,zero
2/2_159.wav,two
2/2_260.wav,two
0/0_236.wav,zero
4/4_377.wav,four
4/4_252.wav,four
2/2_515.wav,two
4/4_226.wav,four
4/4_12.wav,four
4/4_536.wav,four
4/4_372.wav,four
2/2_447.wav,two
0/0_53.wav,zero
2/2_274.wav,two
4/4_387.wav,four
0/0_531.wav,zero
2/2_505.wav,two
4/4_62.wav,four
0/0_289.wav,zero
4/4_523.wav,four
2/2_83.wav,two
0/0_807.wav,zero
4/4_199.wav,four
2/2_120.wav,two
2/2_254.wav,two
2/2_740.wav,two
4/4_100.wav,four
2/2_129.wav,two
4/4_740.wav,four
2/2_283.wav,two
2/2_280.wav,two
2/2_632.wav,two
2/2_60.wav,two
2/2_53.wav,two
0/0_600.wav,zero
4/4_752.wav,four
0/0_279.wav,zero
2/2_189.wav,two
4/4_580.wav,four
0/0_320.wav,zero
4/4_340.wav,four
4/4_692.wav,four
2/2_58.wav,two
0/0_516.wav,zero
4/4_790.wav,four
0/0_545.wav,zero
4/4_652.wav,four
4/4_157.wav,four
4/4_758.wav,four
0/0_599.wav,zero
2/2_194.wav,two
4/4_50.wav,four
2/2_80.wav,two
2/2_28.wav,two
0/0_193.wav,zero
2/2_896.wav,two
0/0_810.wav,zero
4/4_201.wav,four
4/4_8.wav,four
2/2_367.wav,two
4/4_101.wav,four
0/0_302.wav,zero
0/0_307.wav,zero
2/2_63.wav,two
4/4_534.wav,four
0/0_2.wav,zero
0/0_145.wav,zero
2/2_546.wav,two
2/2_751.wav,two
4/4_7.wav,four
2/2_445.wav,two
4/4_744.wav,four
4/4_269.wav,four
4/4_650.wav,four
2/2_389.wav,two
2/2_767.wav,two
0/0_472.wav,zero
4/4_415.wav,four
0/0_708.wav,zero
4/4_560.wav,four
0/0_685.wav,zero
2/2_682.wav,two
0/0_290.wav,zero
2/2_878.wav,two
4/4_326.wav,four
4/4_492.wav,four
4/4_222.wav,four
2/2_235.wav,two
0/0_487.wav,zero
2/2_742.wav,two
2/2_245.wav,two
0/0_296.wav,zero
2/2_181.wav,two
2/2_433.wav,two
4/4_799.wav,four
4/4_337.wav,four
0/0_830.wav,zero
0/0_489.wav,zero
4/4_631.wav,four
4/4_543.wav,four
0/0_49.wav,zero
2/2_764.wav,two
2/2_360.wav,two
2/2_570.wav,two
2/2_514.wav,two
4/4_336.wav,four
2/2_448.wav,two
2/2_618.wav,two
2/2_19.wav,two
4/4_23.wav,four
0/0_684.wav,zero
2/2_220.wav,two
4/4_398.wav,four
0/0_344.wav,zero
2/2_324.wav,two
4/4_107.wav,four
2/2_265.wav,two
0/0_332.wav,zero
0/0_186.wav,zero
0/0_325.wav,zero
4/4_341.wav,four
2/2_31.wav,two
0/0_514.wav,zero
0/0_658.wav,zero
4/4_602.wav,four
4/4_782.wav,four
4/4_604.wav,four
4/4_283.wav,four
4/4_144.wav,four
4/4_67.wav,four
0/0_871.wav,zero
0/0_691.wav,zero
0/0_513.wav,zero
2/2_956.wav,two
0/0_478.wav,zero
2/2_857.wav,two
0/0_566.wav,zero
4/4_272.wav,four
2/2_708.wav,two
2/2_305.wav,two
0/0_818.wav,zero
0/0_860.wav,zero
2/2_227.wav,two
2/2_11.wav,two
0/0_504.wav,zero
2/2_84.wav,two
0/0_790.wav,zero
4/4_545.wav,four
0/0_126.wav,zero
0/0_461.wav,zero
2/2_434.wav,two
2/2_62.wav,two
2/2_947.wav,two
4/4_202.wav,four
2/2_295.wav,two
2/2_904.wav,two
0/0_16.wav,zero
2/2_258.wav,two
4/4_328.wav,four
2/2_190.wav,two
0/0_669.wav,zero
2/2_23.wav,two
0/0_876.wav,zero
2/2_123.wav,two
4/4_68.wav,four
0/0_579.wav,zero
0/0_312.wav,zero
0/0_696.wav,zero
2/2_670.wav,two
0/0_198.wav,zero
2/2_424.wav,two
2/2_642.wav,two
4/4_61.wav,four
0/0_246.wav,zero
2/2_796.wav,two
2/2_38.wav,two
0/0_326.wav,zero
4/4_194.wav,four
2/2_513.wav,two
4/4_393.wav,four
4/4_31.wav,four
4/4_363.wav,four
2/2_423.wav,two
0/0_785.wav,zero
0/0_575.wav,zero
2/2_705.wav,two
0/0_523.wav,zero
2/2_822.wav,two
4/4_579.wav,four
2/2_350.wav,two
4/4_406.wav,four
4/4_712.wav,four
2/2_128.wav,two
2/2_529.wav,two
4/4_179.wav,four
4/4_347.wav,four
0/0_495.wav,zero
2/2_504.wav,two
0/0_240.wav,zero
4/4_709.wav,four
2/2_663.wav,two
2/2_302.wav,two
2/2_158.wav,two
2/2_491.wav,two
0/0_622.wav,zero
4/4_45.wav,four
0/0_81.wav,zero
4/4_774.wav,four
0/0_19.wav,zero
0/0_383.wav,zero
2/2_777.wav,two
2/2_72.wav,two
2/2_609.wav,two
0/0_537.wav,zero
0/0_608.wav,zero
0/0_334.wav,zero
4/4_500.wav,four
2/2_794.wav,two
4/4_479.wav,four
4/4_504.wav,four
4/4_354.wav,four
0/0_260.wav,zero
0/0_39.wav,zero
4/4_270.wav,four
0/0_829.wav,zero
0/0_51.wav,zero
4/4_2.wav,four
0/0_330.wav,zero
0/0_756.wav,zero
0/0_73.wav,zero
2/2_596.wav,two
0/0_839.wav,zero
4/4_213.wav,four
0/0_856.wav,zero
0/0_361.wav,zero
0/0_226.wav,zero
0/0_61.wav,zero
4/4_332.wav,four
2/2_924.wav,two
2/2_494.wav,two
0/0_725.wav,zero
4/4_636.wav,four
4/4_742.wav,four
4/4_36.wav,four
2/2_469.wav,two
4/4_565.wav,four
0/0_686.wav,zero
2/2_815.wav,two
0/0_581.wav,zero
2/2_81.wav,two
0/0_806.wav,zero
4/4_669.wav,four
4/4_145.wav,four
0/0_321.wav,zero
4/4_486.wav,four
0/0_556.wav,zero
2/2_844.wav,two
2/2_656.wav,two
2/2_818.wav,two
4/4_751.wav,four
0/0_411.wav,zero
0/0_826.wav,zero
4/4_471.wav,four
